category,date,driver_number,flag,lap_number,meeting_key,message,scope,sector,session_key
Flag,2023-05-28 14:11:42+00:00,23,BLUE,53,1210,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:11:41,Driver,,9094
Other,2023-05-28 14:11:49+00:00,,,53,1210,LOW GRIP CONDITIONS,,,9094
Other,2023-05-28 14:11:53+00:00,,,54,1210,CAR 55 (SAI) TIME 1:26.201 DELETED - TRACK LIMITS AT TURN 10 LAP 52 16:10:34,,,9094
Other,2023-05-28 14:12:09+00:00,,,54,1210,CAR 14 (ALO) TIME 1:30.862 DELETED - TRACK LIMITS AT TURN 10 LAP 53 16:11:32,,,9094
Flag,2023-05-28 14:12:19+00:00,,CLEAR,54,1210,CLEAR IN TRACK SECTOR 3,Sector,3,9094
Other,2023-05-28 14:12:25+00:00,,,54,1210,CAR 24 (ZHO) TIME 1:30.253 DELETED - TRACK LIMITS AT TURN 10 LAP 51 16:10:32,,,9094
Flag,2023-05-28 14:12:35+00:00,24,BLUE,54,1210,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:12:35,Driver,,9094
Other,2023-05-28 14:12:46+00:00,,,54,1210,CAR 23 (ALB) LAP DELETED - TRACK LIMITS AT TURN 11 LAP 52 16:12:10 (PIT),,,9094
Other,2023-05-28 14:13:00+00:00,,,54,1210,CAR 10 (GAS) TIME 1:35.781 DELETED - TRACK LIMITS AT TURN 10 LAP 53 16:12:12,,,9094
Flag,2023-05-28 14:13:02+00:00,20,BLUE,54,1210,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:13:01,Driver,,9094
Flag,2023-05-28 14:13:09+00:00,,CLEAR,54,1210,CLEAR IN TRACK SECTOR 4,Sector,4,9094
Other,2023-05-28 14:13:17+00:00,,,54,1210,TRACK SURFACE SLIPPERY IN TRACK SECTOR 10,,,9094
Flag,2023-05-28 14:13:20+00:00,,CLEAR,54,1210,CLEAR IN TRACK SECTOR 10,Sector,10,9094
Flag,2023-05-28 14:13:23+00:00,27,BLUE,54,1210,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:13:22,Driver,,9094
Flag,2023-05-28 14:13:32+00:00,23,BLACK AND WHITE,55,1210,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - TRACK LIMITS,Driver,,9094
Flag,2023-05-28 14:13:34+00:00,77,BLUE,55,1210,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:13:33,Driver,,9094
Flag,2023-05-28 14:13:45+00:00,27,BLUE,55,1210,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:13:44,Driver,,9094
Flag,2023-05-28 14:14:08+00:00,27,BLUE,55,1210,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:14:07,Driver,,9094
Other,2023-05-28 14:14:09+00:00,,,55,1210,CAR 63 (RUS) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 54 16:13:30 (PIT),,,9094
Flag,2023-05-28 14:14:21+00:00,21,BLUE,55,1210,WAVED BLUE FLAG FOR CAR 21 (DEV) TIMED AT 16:14:20,Driver,,9094
Other,2023-05-28 14:14:42+00:00,,,55,1210,CAR 44 (HAM) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 54 16:13:40 (PIT),,,9094
Flag,2023-05-28 14:14:44+00:00,24,BLUE,55,1210,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:14:43,Driver,,9094
Flag,2023-05-28 14:14:45+00:00,,YELLOW,55,1210,YELLOW IN TRACK SECTOR 7,Sector,7,9094
Flag,2023-05-28 14:14:52+00:00,,CLEAR,55,1210,CLEAR IN TRACK SECTOR 7,Sector,7,9094
Flag,2023-05-28 14:14:53+00:00,,YELLOW,55,1210,YELLOW IN TRACK SECTOR 7,Sector,7,9094
Flag,2023-05-28 14:15:02+00:00,,DOUBLE YELLOW,55,1210,DOUBLE YELLOW IN TRACK SECTOR 7,Sector,7,9094
