date,driver_number,lap_number,meeting_key,pit_duration,session_key
2023-06-03 11:24:58.548000+00:00,16,13,1211,24.6,9097
2023-06-03 11:25:34.485000+00:00,14,9,1211,34.3,9097
2023-06-03 11:25:55.485000+00:00,18,10,1211,301.8,9097
2023-06-03 11:26:00.656000+00:00,22,12,1211,134.8,9097
2023-06-03 11:26:20.844000+00:00,24,11,1211,24.5,9097
2023-06-03 11:26:32.984000+00:00,77,11,1211,24.4,9097
2023-06-03 11:26:35.625000+00:00,63,12,1211,185.6,9097
2023-06-03 11:27:01.483000+00:00,1,11,1211,130.3,9097
2023-06-03 11:27:05.968000+00:00,81,13,1211,198.3,9097
2023-06-03 11:27:16.874000+00:00,11,11,1211,266.8,9097
2023-06-03 11:28:47.903000+00:00,20,10,1211,573.1,9097
2023-06-03 11:28:54.466000+00:00,31,13,1211,314.4,9097
2023-06-03 11:28:56.872000+00:00,1,12,1211,16.5,9097
2023-06-03 11:29:15.419000+00:00,10,12,1211,309.3,9097
2023-06-03 11:29:17.231000+00:00,27,10,1211,569.8,9097
2023-06-03 14:03:31.925000+00:00,22,3,1211,24.6,9098
2023-06-03 14:12:35.649000+00:00,22,4,1211,568.0,9098
2023-06-03 14:12:38.915000+00:00,21,3,1211,565.1,9098
2023-06-03 14:16:30.567000+00:00,21,5,1211,25.7,9098
2023-06-03 14:20:42.406000+00:00,18,7,1211,196.5,9098
2023-06-03 14:22:14.639000+00:00,11,8,1211,118.9,9098
2023-06-03 14:22:39.873000+00:00,23,6,1211,171.1,9098
2023-06-03 14:22:42.186000+00:00,2,4,1211,209.8,9098
2023-06-03 14:22:53.170000+00:00,10,7,1211,305.7,9098
2023-06-03 14:22:55.482000+00:00,14,7,1211,313.0,9098
2023-06-03 14:22:58.029000+00:00,20,7,1211,328.4,9098
2023-06-03 14:23:01.341000+00:00,27,7,1211,311.7,9098
2023-06-03 14:23:04.326000+00:00,16,8,1211,107.4,9098
2023-06-03 14:23:07.294000+00:00,31,7,1211,365.7,9098
2023-06-03 14:23:12.997000+00:00,22,9,1211,182.0,9098
2023-06-03 14:23:15.872000+00:00,21,8,1211,147.8,9098
2023-06-03 14:23:28.372000+00:00,81,7,1211,293.8,9098
2023-06-03 14:23:31.716000+00:00,4,8,1211,183.5,9098
2023-06-03 14:23:34.153000+00:00,55,8,1211,100.5,9098
2023-06-03 14:23:35.919000+00:00,77,8,1211,232.0,9098
2023-06-03 14:23:42.059000+00:00,24,8,1211,227.0,9098
2023-06-03 14:24:02.622000+00:00,63,9,1211,108.3,9098
2023-06-03 14:24:10.512000+00:00,44,9,1211,91.9,9098
2023-06-03 14:34:03.236000+00:00,1,10,1211,574.6,9098
2023-06-03 14:34:08.767000+00:00,11,11,1211,452.6,9098
2023-06-03 14:34:55.438000+00:00,55,11,1211,379.0,9098
2023-06-03 14:35:52.312000+00:00,22,12,1211,480.7,9098
2023-06-03 14:37:28.466000+00:00,63,12,1211,542.7,9098
2023-06-03 14:37:31.154000+00:00,18,12,1211,568.6,9098
2023-06-03 14:37:32.138000+00:00,44,12,1211,541.9,9098
2023-06-03 14:37:34.935000+00:00,21,11,1211,568.0,9098
2023-06-03 14:37:37.435000+00:00,31,10,1211,568.1,9098
2023-06-03 14:37:39.826000+00:00,14,10,1211,617.8,9098
2023-06-03 14:37:42.232000+00:00,24,11,1211,527.1,9098
2023-06-03 14:37:57.091000+00:00,4,11,1211,576.8,9098
2023-06-03 14:38:06.685000+00:00,27,10,1211,633.9,9098
2023-06-03 14:38:11.966000+00:00,81,9,1211,681.2,9098
2023-06-03 14:38:16.731000+00:00,10,10,1211,647.4,9098
2023-06-03 14:44:54.505000+00:00,11,14,1211,377.0,9098
2023-06-03 14:44:57.552000+00:00,22,16,1211,190.9,9098
2023-06-03 14:44:58.396000+00:00,27,13,1211,153.7,9098
2023-06-03 14:45:04.536000+00:00,63,15,1211,202.5,9098
2023-06-03 14:45:09.302000+00:00,1,13,1211,366.8,9098
2023-06-03 14:45:18.505000+00:00,55,14,1211,362.7,9098
2023-06-03 14:45:28.208000+00:00,10,13,1211,167.1,9098
2023-06-03 14:45:37.708000+00:00,18,15,1211,216.7,9098
